X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
0.5, 0, 3, -23.196, -30.258, 5, 5, 5, 5
0.5, 0, 3.5, -32.418, -108.73, 5, 5, 5, 5
0.5, 0, 4, -31.106, 163.45, 5, 5, 5, 5
0.5, 0.5, 0, nan, nan, 5, 5, 5, 5
0.5, 0.5, 0.5, -35.207, -159.55, 5, 5, 5, 5
0.5, 0.5, 1, -12.647, -92.547, 5, 5, 5, 5
0.5, 0.5, 1.5, -10.345, 149.92, 5, 5, 5, 5
0.5, 0.5, 2, -12.713, -92.566, 5, 5, 5, 5
0.5, 0.5, 2.5, -36.062, -170.53, 5, 5, 5, 5
0.5, 0.5, 3, -32.017, 73.511, 5, 5, 5, 5
0.5, 0.5, 3.5, -37.74, -13.635, 5, 5, 5, 5
0.5, 0.5, 4, -42.166, 165.65, 5, 5, 5, 5
0.5, 1, 0, -39.47, 105.59, 5, 5, 5, 5
0.5, 1, 0.5, -24.263, 139.49, 5, 5, 5, 5
0.5, 1, 1, -17.787, 97.981, 5, 5, 5, 5
0.5, 1, 1.5, -4.2805, -64.734, 5, 5, 5, 5
0.5, 1, 2, -17.782, 97.561, 5, 5, 5, 5
0.5, 1, 2.5, -24.285, 138.17, 5, 5, 5, 5
0.5, 1, 3, -36.462, 91.882, 5, 5, 5, 5
0.5, 1, 3.5, -36.075, 169.37, 5, 5, 5, 5
0.5, 1, 4, -44.088, 22.083, 5, 5, 5, 5
0.5, 1.5, 0, -30.239, 104.91, 3, 3, 3, 3
0.5, 1.5, 0.5, nan, nan, 5, 5, 5, 5
0.5, 1.5, 1, -20.99, -168.05, 5, 5, 5, 5
0.5, 1.5, 1.5, nan, nan, 5, 5, 5, 5
0.5, 1.5, 2, -22.73, -170.79, 5, 5, 5, 5
0.5, 1.5, 2.5, nan, nan, 5, 5, 5, 5
0.5, 1.5, 3, nan, nan, 5, 5, 5, 5
0.5, 1.5, 3.5, nan, nan, 5, 5, 5, 5
0.5, 1.5, 4, -36.544, -148.13, 3, 3, 3, 3
1, -1.5, 0, -22.647, -82.851, 3, 3, 3, 3
1, -1.5, 0.5, nan, nan, 5, 5, 5, 5
1, -1.5, 1, nan, nan, 5, 5, 5, 5
1, -1.5, 1.5, nan, nan, 5, 5, 5, 5
1, -1.5, 2, nan, nan, 5, 5, 5, 5
1, -1.5, 2.5, nan, nan, 5, 5, 5, 5
1, -1.5, 3, nan, nan, 5, 5, 5, 5
1, -1.5, 3.5, -28.501, 65.423, 5, 5, 5, 5
1, -1.5, 4, -28.226, -53.441, 3, 3, 3, 3
1, -1, 0, -21.499, 90.424, 5, 5, 5, 5
1, -1, 0.5, -19.496, 110.97, 5, 5, 5, 5
1, -1, 1, -17.885, 16.667, 5, 5, 5, 5
1, -1, 1.5, -16.965, -37.262, 5, 5, 5, 5
1, -1, 2, -18.121, 13.264, 5, 5, 5, 5
1, -1, 2.5, -20.188, 118, 5, 5, 5, 5
1, -1, 3, -22.578, 87.437, 5, 5, 5, 5
1, -1, 3.5, -25.961, 43.854, 5, 5, 5, 5
1, -1, 4, -26.791, 84.083, 5, 5, 5, 5
1, -0.5, 0, -20.003, 16.828, 5, 5, 5, 5
1, -0.5, 0.5, -20.877, -86.878, 5, 5, 5, 5
1, -0.5, 1, -20.826, -8.3409, 5, 5, 5, 5
1, -0.5, 1.5, -17.779, 62.607, 5, 5, 5, 5
1, -0.5, 2, -20.999, -2.7099, 5, 5, 5, 5
1, -0.5, 2.5, -19.91, -84.75, 5, 5, 5, 5
1, -0.5, 3, -21.205, 18.309, 5, 5, 5, 5
1, -0.5, 3.5, -26.893, 125.58, 5, 5, 5, 5
1, -0.5, 4, -34.112, -53.521, 5, 5, 5, 5
1, 0, 0, -23.45, -113.33, 5, 5, 5, 5
1, 0, 0.5, -22.843, 120.79, 5, 5, 5, 5
1, 0, 1, -14.354, 81.217, 5, 5, 5, 5
1, 0, 1.5, -17.65, -113.02, 5, 5, 5, 5
1, 0, 2, -14.489, 81.149, 5, 5, 5, 5
1, 0, 2.5, -23.395, 122.84, 5, 5, 5, 5
1, 0, 3, -25.331, -122.1, 5, 5, 5, 5
1, 0, 3.5, -26.983, 110.11, 5, 5, 5, 5
1, 0, 4, -30.199, 95.645, 5, 5, 5, 5
1, 0.5, 0, -26.968, -24.243, 5, 5, 5, 5
1, 0.5, 0.5, -18.286, 37.374, 5, 5, 5, 5
1, 0.5, 1, -21.342, -83.679, 5, 5, 5, 5
1, 0.5, 1.5, -11.97, -160.19, 5, 5, 5, 5
1, 0.5, 2, -20.902, -81.712, 5, 5, 5, 5
1, 0.5, 2.5, -18.456, 39.104, 5, 5, 5, 5
1, 0.5, 3, -29.808, -27.414, 5, 5, 5, 5
1, 0.5, 3.5, -30.579, -65.309, 5, 5, 5, 5
1, 0.5, 4, -33.469, 102.27, 5, 5, 5, 5
1, 1, 0, nan, nan, 5, 5, 5, 5
1, 1, 0.5, -21.157, -153.47, 5, 5, 5, 5
1, 1, 1, -12.852, 173.17, 5, 5, 5, 5
1, 1, 1.5, -14.39, -167.79, 5, 5, 5, 5
1, 1, 2, -12.777, 173.38, 5, 5, 5, 5
1, 1, 2.5, -21.349, -157.8, 5, 5, 5, 5
1, 1, 3, -24.078, 21.195, 5, 5, 5, 5
1, 1, 3.5, -37.517, -137.96, 5, 5, 5, 5
1, 1, 4, -37.121, 15.769, 5, 5, 5, 5
1, 1.5, 0, -29.85, -31.901, 3, 3, 3, 3
1, 1.5, 0.5, nan, nan, 5, 5, 5, 5
1, 1.5, 1, nan, nan, 5, 5, 5, 5
1, 1.5, 1.5, nan, nan, 5, 5, 5, 5
1, 1.5, 2, nan, nan, 5, 5, 5, 5
1, 1.5, 2.5, nan, nan, 5, 5, 5, 5
1, 1.5, 3, nan, nan, 5, 5, 5, 5
1, 1.5, 3.5, -34.806, -112.24, 5, 5, 5, 5
1, 1.5, 4, -34.934, 163.22, 3, 3, 3, 3
1.5, -1.5, 0, -26.973, 166.42, 3, 3, 3, 3
1.5, -1.5, 0.5, nan, nan, 5, 5, 5, 5
1.5, -1.5, 1, nan, nan, 5, 5, 5, 5
1.5, -1.5, 1.5, -26.361, -118.58, 5, 5, 5, 5
1.5, -1.5, 2, nan, nan, 5, 5, 5, 5
1.5, -1.5, 2.5, nan, nan, 5, 5, 5, 5
1.5, -1.5, 3, -32.582, 145.53, 5, 5, 5, 5
1.5, -1.5, 3.5, -36.576, 124.5, 5, 5, 5, 5
1.5, -1.5, 4, -31.023, 68.001, 3, 3, 3, 3
1.5, -1, 0, -24.4, -177.73, 5, 5, 5, 5
1.5, -1, 0.5, -20.745, 99.809, 5, 5, 5, 5
1.5, -1, 1, -22.11, -80.936, 5, 5, 5, 5
1.5, -1, 1.5, -18.031, -155.63, 5, 5, 5, 5
1.5, -1, 2, -21.877, -84.76, 5, 5, 5, 5
1.5, -1, 2.5, -19.675, 102.89, 5, 5, 5, 5
1.5, -1, 3, -24.549, 174.07, 5, 5, 5, 5
1.5, -1, 3.5, -30.337, -97.418, 5, 5, 5, 5
1.5, -1, 4, nan, nan, 5, 5, 5, 5
1.5, -0.5, 0, -23.238, -67.985, 5, 5, 5, 5
1.5, -0.5, 0.5, -18.324, 28.321, 5, 5, 5, 5
1.5, -0.5, 1, -19.117, -40.737, 5, 5, 5, 5
1.5, -0.5, 1.5, -16.99, -47.356, 5, 5, 5, 5
1.5, -0.5, 2, -18.448, -38.011, 5, 5, 5, 5
1.5, -0.5, 2.5, -18.166, 27.586, 5, 5, 5, 5
1.5, -0.5, 3, -24.121, -68.538, 5, 5, 5, 5
1.5, -0.5, 3.5, -28.479, -153.39, 5, 5, 5, 5
1.5, -0.5, 4, -27.417, -179.81, 5, 5, 5, 5
1.5, 0, 0, -21.901, 15.608, 5, 5, 5, 5
1.5, 0, 0.5, -21.477, -101.24, 5, 5, 5, 5
1.5, 0, 1, -14.982, -2.6096, 5, 5, 5, 5
1.5, 0, 1.5, -20.743, 55.124, 5, 5, 5, 5
1.5, 0, 2, -15.036, 0.27892, 5, 5, 5, 5
1.5, 0, 2.5, -20.549, -97.421, 5, 5, 5, 5
1.5, 0, 3, -23.429, 17.287, 5, 5, 5, 5
1.5, 0, 3.5, -26.696, 53.161, 5, 5, 5, 5
1.5, 0, 4, -34.921, -111.18, 5, 5, 5, 5
1.5, 0.5, 0, nan, nan, 5, 5, 5, 5
1.5, 0.5, 0.5, -24.713, -7.3958, 5, 5, 5, 5
1.5, 0.5, 1, -21.337, 167.87, 5, 5, 5, 5
1.5, 0.5, 1.5, -16.43, -45.359, 5, 5, 5, 5
1.5, 0.5, 2, -21.266, 163.75, 5, 5, 5, 5
1.5, 0.5, 2.5, -24.077, 0.82825, 5, 5, 5, 5
1.5, 0.5, 3, -26.469, -55.627, 5, 5, 5, 5
1.5, 0.5, 3.5, -27.345, -99.633, 5, 5, 5, 5
1.5, 0.5, 4, -33.182, -72.06, 5, 5, 5, 5
1.5, 1, 0, -27.697, -115.68, 5, 5, 5, 5
1.5, 1, 0.5, -17.177, 37.456, 5, 5, 5, 5
1.5, 1, 1, -25.146, -99.817, 5, 5, 5, 5
1.5, 1, 1.5, -17.535, 84.875, 5, 5, 5, 5
1.5, 1, 2, -24.852, -96.241, 5, 5, 5, 5
1.5, 1, 2.5, -17.072, 33.311, 5, 5, 5, 5
1.5, 1, 3, -30.697, -127.48, 5, 5, 5, 5
1.5, 1, 3.5, -27.017, 168.67, 5, 5, 5, 5
1.5, 1, 4, nan, nan, 5, 5, 5, 5
