X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
7, -0.5, 2, -23.813, 37.365, 12, 12, 12, 9
7, 0, 2, -23.162, -135.19, 14, 14, 14, 9
7, 0.5, 2, -23.813, 37.365, 12, 12, 12, 9
7, 1, 2, -39.579, -37.266, 12, 12, 12, 9
7, 1.5, 2, nan, nan, 12, 12, 12, 9
7.5, -1.5, 2, nan, nan, 12, 12, 12, 9
7.5, -1, 2, -25.274, 100.99, 12, 12, 12, 9
7.5, -0.5, 2, -32.849, 54.359, 12, 12, 12, 9
7.5, 0, 2, -21.895, -151.84, 14, 14, 14, 9
7.5, 0.5, 2, -32.849, 54.359, 12, 12, 12, 9
7.5, 1, 2, -25.274, 100.99, 12, 12, 12, 9
7.5, 1.5, 2, nan, nan, 12, 12, 12, 9
8, -1.5, 2, -40.444, -75.352, 12, 12, 12, 9
8, -1, 2, -27.917, -163.31, 12, 12, 12, 9
8, -0.5, 2, -29.433, 55.456, 12, 12, 12, 9
8, 0, 2, -35.105, 153.04, 14, 14, 14, 9
8, 0.5, 2, -29.433, 55.456, 12, 12, 12, 9
8, 1, 2, -27.917, -163.31, 12, 12, 12, 9
8, 1.5, 2, -40.444, -75.352, 12, 12, 12, 9
8.5, -1.5, 2, nan, nan, 12, 12, 12, 9
8.5, -1, 2, -29.062, -86.647, 12, 12, 12, 9
8.5, -0.5, 2, -24.734, 135.43, 12, 12, 12, 9
8.5, 0, 2, -24.113, -140.53, 14, 14, 14, 9
8.5, 0.5, 2, -24.734, 135.43, 12, 12, 12, 9
8.5, 1, 2, -29.062, -86.647, 12, 12, 12, 9
8.5, 1.5, 2, nan, nan, 12, 12, 12, 9
9, -1.5, 2, nan, nan, 12, 12, 12, 9
9, -1, 2, -34.519, -169.36, 12, 12, 12, 9
9, -0.5, 2, -31.11, 8.0961, 12, 12, 12, 9
9, 0, 2, -29.617, 81.482, 14, 14, 14, 9
9, 0.5, 2, -31.11, 8.0961, 12, 12, 12, 9
9, 1, 2, -34.519, -169.36, 12, 12, 12, 9
9, 1.5, 2, nan, nan, 12, 12, 12, 9
9.5, -1.5, 2, nan, nan, 12, 12, 12, 9
9.5, -1, 2, -26.065, 104.67, 12, 12, 12, 9
9.5, -0.5, 2, -31.677, 22.699, 12, 12, 12, 9
9.5, 0, 2, -23.843, 151.63, 14, 14, 14, 9
9.5, 0.5, 2, -31.677, 22.699, 12, 12, 12, 9
9.5, 1, 2, -26.065, 104.67, 12, 12, 12, 9
