X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
0, -1.5, 2, -300, 0, 0, 0, 0, 0
0, -1, 2, -300, 0, 0, 0, 0, 0
0, -0.5, 2, -300, 0, 0, 0, 0, 0
0, 0, 2, -300, 0, 0, 0, 0, 0
0, 0.5, 2, -300, 0, 0, 0, 0, 0
0, 1, 2, -300, 0, 0, 0, 0, 0
0, 1.5, 2, -300, 0, 0, 0, 0, 0
0.5, -1.5, 2, -300, 0, 0, 0, 0, 0
0.5, -1, 2, -300, 0, 0, 0, 0, 0
0.5, -0.5, 2, -300, 0, 0, 0, 0, 0
0.5, 0, 2, -300, 0, 0, 0, 0, 0
0.5, 0.5, 2, -300, 0, 0, 0, 0, 0
0.5, 1, 2, -300, 0, 0, 0, 0, 0
0.5, 1.5, 2, -300, 0, 0, 0, 0, 0
1, -1.5, 2, -16.415, -5.9588, 14, 14, 14, 11
1, -1, 2, -12.71, 115.89, 14, 14, 14, 11
1, -0.5, 2, -6.4612, -121.33, 14, 14, 14, 11
1, 0, 2, nan, nan, 102646, 102646, 102646, 7
1, 0.5, 2, -5.7506, -118.95, 14, 14, 14, 11
1, 1, 2, -11.327, 107.71, 14, 14, 14, 11
1, 1.5, 2, nan, nan, 14, 14, 14, 11
1.5, -1.5, 2, nan, nan, 13, 13, 13, 13
1.5, -1, 2, -12.005, 111.97, 13, 13, 13, 13
1.5, -0.5, 2, -9.1996, 72.066, 13, 13, 13, 13
1.5, 0, 2, -5.1167, -118.38, 11, 11, 11, 9
1.5, 0.5, 2, -9.1996, 72.066, 13, 13, 13, 13
1.5, 1, 2, -12.005, 111.97, 13, 13, 13, 13
1.5, 1.5, 2, nan, nan, 13, 13, 13, 13
2, -1.5, 2, nan, nan, 13, 13, 13, 13
2, -1, 2, -15.359, 138.38, 13, 13, 13, 13
2, -0.5, 2, -13.743, 140.99, 13, 13, 13, 13
2, 0, 2, -14.142, 126.29, 11, 11, 11, 9
2, 0.5, 2, -13.743, 140.99, 13, 13, 13, 13
2, 1, 2, -15.359, 138.38, 13, 13, 13, 13
2, 1.5, 2, nan, nan, 13, 13, 13, 13
2.5, -1.5, 2, nan, nan, 13, 13, 13, 13
2.5, -1, 2, -15.262, -30.932, 13, 13, 13, 13
2.5, -0.5, 2, -16.245, -108.67, 13, 13, 13, 13
2.5, 0, 2, -18.027, -25.263, 11, 11, 11, 9
2.5, 0.5, 2, -16.245, -108.67, 13, 13, 13, 13
2.5, 1, 2, -15.262, -30.932, 13, 13, 13, 13
2.5, 1.5, 2, nan, nan, 13, 13, 13, 13
3, -1.5, 2, nan, nan, 13, 13, 13, 13
3, -1, 2, -21.022, -116.3, 13, 13, 13, 13
3, -0.5, 2, -22.671, -152.35, 13, 13, 13, 13
3, 0, 2, -16.871, -159.63, 11, 11, 11, 9
3, 0.5, 2, -22.671, -152.35, 13, 13, 13, 13
3, 1, 2, -21.022, -116.3, 13, 13, 13, 13
3, 1.5, 2, nan, nan, 13, 13, 13, 13
3.5, -1.5, 2, nan, nan, 13, 13, 13, 13
3.5, -1, 2, -17.562, 21.864, 13, 13, 13, 13
3.5, -0.5, 2, -17.909, -169.84, 13, 13, 13, 13
