X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
0, -1.5, 2, -300, 0, 0, 0, 0, 0
0, -1, 2, -300, 0, 0, 0, 0, 0
0, -0.5, 2, -300, 0, 0, 0, 0, 0
0, 0, 2, -300, 0, 0, 0, 0, 0
0, 0.5, 2, -300, 0, 0, 0, 0, 0
0, 1, 2, -300, 0, 0, 0, 0, 0
0, 1.5, 2, -300, 0, 0, 0, 0, 0
0.5, -1.5, 2, -300, 0, 0, 0, 0, 0
0.5, -1, 2, -300, 0, 0, 0, 0, 0
0.5, -0.5, 2, -300, 0, 0, 0, 0, 0
0.5, 0, 2, -300, 0, 0, 0, 0, 0
0.5, 0.5, 2, -300, 0, 0, 0, 0, 0
0.5, 1, 2, -300, 0, 0, 0, 0, 0
0.5, 1.5, 2, -300, 0, 0, 0, 0, 0
1, -1.5, 2, -300, 0, 0, 0, 0, 0
1, -1, 2, -300, 0, 0, 0, 0, 0
1, -0.5, 2, -300, 0, 0, 0, 0, 0
1, 0, 2, -300, 0, 0, 0, 0, 0
1, 0.5, 2, -300, 0, 0, 0, 0, 0
1, 1, 2, -300, 0, 0, 0, 0, 0
1, 1.5, 2, -300, 0, 0, 0, 0, 0
1.5, -1.5, 2, -300, 0, 0, 0, 0, 0
1.5, -1, 2, -300, 0, 0, 0, 0, 0
1.5, -0.5, 2, -300, 0, 0, 0, 0, 0
1.5, 0, 2, -300, 0, 0, 0, 0, 0
1.5, 0.5, 2, -300, 0, 0, 0, 0, 0
1.5, 1, 2, -300, 0, 0, 0, 0, 0
1.5, 1.5, 2, -300, 0, 0, 0, 0, 0
2, -1.5, 2, nan, nan, 12, 12, 12, 12
2, -1, 2, -24.237, 133.22, 13, 13, 13, 13
2, -0.5, 2, -27.829, -161.01, 12, 12, 12, 12
2, 0, 2, -25.185, -106.86, 19, 19, 19, 13
2, 0.5, 2, -27.829, -161.01, 12, 12, 12, 12
2, 1, 2, -24.237, 133.22, 13, 13, 13, 13
2, 1.5, 2, nan, nan, 12, 12, 12, 12
2.5, -1.5, 2, nan, nan, 12, 12, 12, 12
2.5, -1, 2, -23.289, 25.921, 13, 13, 13, 13
2.5, -0.5, 2, -29.48, -143.01, 12, 12, 12, 12
2.5, 0, 2, -22.869, 70.111, 16, 16, 16, 13
2.5, 0.5, 2, -29.48, -143.01, 12, 12, 12, 12
2.5, 1, 2, -23.289, 25.921, 13, 13, 13, 13
2.5, 1.5, 2, nan, nan, 12, 12, 12, 12
3, -1.5, 2, nan, nan, 12, 12, 12, 12
3, -1, 2, -27.684, 14.099, 13, 13, 13, 13
3, -0.5, 2, -28.408, -36.558, 12, 12, 12, 12
3, 0, 2, -20.407, 110.08, 16, 16, 16, 13
3, 0.5, 2, -28.408, -36.558, 12, 12, 12, 12
3, 1, 2, -27.684, 14.099, 13, 13, 13, 13
3, 1.5, 2, nan, nan, 12, 12, 12, 12
3.5, -1.5, 2, nan, nan, 12, 12, 12, 12
3.5, -1, 2, -18.257, -157.07, 13, 13, 13, 13
3.5, -0.5, 2, -20.538, -62.985, 12, 12, 12, 12
3.5, 0, 2, -19.903, 2.543, 16, 16, 16, 13
