X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
0, -1.5, 2, -300, 0, 0, 0, 0, 0
0, -1, 2, -300, 0, 0, 0, 0, 0
0, -0.5, 2, -300, 0, 0, 0, 0, 0
0, 0, 2, -300, 0, 0, 0, 0, 0
0, 0.5, 2, -300, 0, 0, 0, 0, 0
0, 1, 2, -300, 0, 0, 0, 0, 0
0, 1.5, 2, -300, 0, 0, 0, 0, 0
0.5, -1.5, 2, -300, 0, 0, 0, 0, 0
0.5, -1, 2, -300, 0, 0, 0, 0, 0
0.5, -0.5, 2, -300, 0, 0, 0, 0, 0
0.5, 0, 2, -300, 0, 0, 0, 0, 0
0.5, 0.5, 2, -300, 0, 0, 0, 0, 0
0.5, 1, 2, -300, 0, 0, 0, 0, 0
0.5, 1.5, 2, -300, 0, 0, 0, 0, 0
1, -1.5, 2, -300, 0, 0, 0, 0, 0
1, -1, 2, -300, 0, 0, 0, 0, 0
1, -0.5, 2, -300, 0, 0, 0, 0, 0
1, 0, 2, -300, 0, 0, 0, 0, 0
1, 0.5, 2, -300, 0, 0, 0, 0, 0
1, 1, 2, -300, 0, 0, 0, 0, 0
1, 1.5, 2, -300, 0, 0, 0, 0, 0
1.5, -1.5, 2, -300, 0, 0, 0, 0, 0
1.5, -1, 2, -300, 0, 0, 0, 0, 0
1.5, -0.5, 2, -300, 0, 0, 0, 0, 0
1.5, 0, 2, -300, 0, 0, 0, 0, 0
1.5, 0.5, 2, -300, 0, 0, 0, 0, 0
1.5, 1, 2, -300, 0, 0, 0, 0, 0
1.5, 1.5, 2, -300, 0, 0, 0, 0, 0
2, -1.5, 2, nan, nan, 13, 13, 13, 13
2, -1, 2, -18.018, -98.819, 13, 13, 13, 13
2, -0.5, 2, -20.334, -45.851, 13, 13, 13, 13
2, 0, 2, -24.237, 133.22, 13, 13, 13, 13
2, 0.5, 2, -24.113, 157.82, 12, 12, 12, 12
2, 1, 2, -33.389, -165.83, 19, 19, 19, 13
2, 1.5, 2, nan, nan, 13, 13, 13, 13
2.5, -1.5, 2, nan, nan, 13, 13, 13, 13
2.5, -1, 2, -22.93, -39.662, 13, 13, 13, 13
2.5, -0.5, 2, -20.845, -71.124, 13, 13, 13, 13
2.5, 0, 2, -23.289, 25.921, 13, 13, 13, 13
2.5, 0.5, 2, -26.445, 150.13, 12, 12, 12, 12
2.5, 1, 2, -26.165, 117.36, 16, 16, 16, 13
2.5, 1.5, 2, nan, nan, 13, 13, 13, 13
3, -1.5, 2, nan, nan, 13, 13, 13, 13
3, -1, 2, -18.235, 61.206, 13, 13, 13, 13
3, -0.5, 2, -17.264, -146.23, 13, 13, 13, 13
3, 0, 2, -27.684, 14.099, 13, 13, 13, 13
3, 0.5, 2, -19.161, 1.6135, 12, 12, 12, 12
3, 1, 2, -22.554, 172.89, 16, 16, 16, 13
3, 1.5, 2, nan, nan, 13, 13, 13, 13
3.5, -1.5, 2, nan, nan, 13, 13, 13, 13
3.5, -1, 2, -18.037, 33.847, 13, 13, 13, 13
3.5, -0.5, 2, -19.281, -29.883, 13, 13, 13, 13
3.5, 0, 2, -18.257, -157.07, 13, 13, 13, 13
